Name	PeakFile/Annotation	#features[ref=36487]	Coverage(bp)[ref=18921512]	AvgFeatureSize[ref=518]	Overlap(#peaks)	Overlap(bp)	Expected Overlap(bp, gsize=2.00e+09)	Log Ratio Enrichment	Log P-value(+ underrepresented)	P-value
enhancers.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.txt	1769842	772130563	436	30877	16981322	7304938	0.84	-21147.35	0.00e+00
enhancers.Th.stim.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th.stim.txt	67152	69450748	1034	7781	3564564	657056	1.69	-6625.15	0.00e+00
enhancers.Th17.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th17.txt	33682	35425943	1051	4552	2332540	335156	1.94	-5212.13	0.00e+00
enhancers.Th0.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th0.txt	62122	65374328	1052	5842	2381566	618490	1.35	-3016.71	0.00e+00
enhancers.T.naive.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.T.naive.txt	18240	19135535	1049	2155	932223	181036	1.64	-1561.40	0.00e+00
enhancers.Treg.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Treg.txt	33320	35145230	1054	2696	1217399	332500	1.30	-1409.68	0.00e+00
enhancers.CD34.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.CD34.txt	37753	39580272	1048	1781	733966	374459	0.67	-272.75	3.51e-119
enhancers.other.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.other.txt	319878	335326322	1048	9122	4010832	3172440	0.23	-247.13	4.69e-108
enhancers.promoter-TSS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.promoter-TSS.txt	11376	9428190	828	560	202790	89197	0.82	-107.17	2.86e-47
enhancers.Th1.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th1.txt	32740	34772185	1062	1504	497851	328971	0.41	-77.74	1.74e-34
enhancers.5'.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.5'.txt	6256	644981	103	194	24246	6102	1.38	-31.48	2.13e-14
enhancers.Th2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th2.txt	29372	31200703	1062	1171	369927	295182	0.23	-19.97	2.13e-09
enhancers.Other.T.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Other.T.txt	18502	19984323	1080	653	224243	189066	0.17	-8.09	3.06e-04
enhancers.basic.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.final.annotation	1223986	76498776015	624991.0	36487	18957999	723736254	-3.64	-0.00	1.00e+00
enhancers.Intergenic.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Intergenic.txt	92465	74871258640	8097251.0	3553	1006885	708338709	-6.56	-0.00	1.00e+00
gwascatalog.proxy.disease.final.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.v2.txt	22354	32999977646	14762441.0	35339	18418099	312204736	-2.83	-0.00	1.00e+00
gwascatalog.proxy.disease.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.v2.txt	268093	11166	0	120	246	105	0.85	-0.00	1.00e+00
enhancers.basic.reordered.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.annotation	2313110	76499695543	330721.0	36487	18977807	723744953	-3.64	-0.00	1.00e+00
enhancers.basic.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.annotation	2313110	76499695543	330721.0	36487	18977807	723744953	-3.64	-0.00	1.00e+00
enhancers.basic.reordered.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.final.annotation	1223989	76498776019	624991.0	36487	18957999	723736254	-3.64	-0.00	1.00e+00
gwascatalog.proxy.disease.final.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.txt	22354	32999977646	14762441.0	35339	18418099	312204736	-2.83	-0.00	1.00e+00
enhancers.Tmem.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Tmem.txt	23855	25441945	1066	590	202378	240700	-0.17	8.63	1.79e-04
enhancers.B.cell.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.B.cell.txt	57721	61293029	1061	1502	513833	579878	-0.12	10.25	3.55e-05
enhancers.non-coding.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.non-coding.txt	15294	6036389	394	92	15575	57108	-1.30	43.88	8.78e-20
enhancers.exon.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.exon.txt	106140	17705341	166	350	39632	167505	-1.44	141.89	2.39e-62
enhancers.3'.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.3'.txt	12561	12723571	1012	66	12913	120374	-2.23	157.78	2.99e-69
enhancers.TTS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.TTS.txt	19412	17606597	906	121	27087	166571	-1.82	179.63	9.73e-79
enhancers.intron.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.intron.txt	214372	789290513	3681	2453	642015	7467284	-2.45	13554.04	0.00e+00
