Name	PeakFile/Annotation	#features[ref=28017]	Coverage(bp)[ref=10948679]	AvgFeatureSize[ref=390]	Overlap(#peaks)	Overlap(bp)	Expected Overlap(bp, gsize=2.00e+09)	Log Ratio Enrichment	Log P-value(+ underrepresented)	P-value
enhancers.Th.stim.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Th.stim.txt	67152	69450748	1034	4863	2221757	380196	1.77	-5841.88	0.00e+00
enhancers.Th0.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Th0.txt	62122	65374328	1052	4330	1709098	357881	1.56	-3660.08	0.00e+00
enhancers.Th1.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Th1.txt	32740	34772185	1062	1397	450035	190354	0.86	-340.76	1.02e-148
enhancers.Th17.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Th17.txt	33682	35425943	1051	1078	403551	193933	0.73	-230.85	5.51e-101
enhancers.Th2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Th2.txt	29372	31200703	1062	961	306163	170803	0.58	-117.46	9.69e-52
enhancers.B.cell.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.B.cell.txt	57721	61293029	1061	1167	371340	335538	0.10	-7.01	9.07e-04
enhancers.other.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.other.txt	319878	335326322	1048	5155	1904785	1835690	0.04	-6.03	2.41e-03
enhancers.CD34.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.CD34.txt	37753	39580272	1048	692	236499	216675	0.09	-4.08	1.69e-02
enhancers.Tmem.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Tmem.txt	23855	25441945	1066	460	151719	139277	0.09	-3.03	4.83e-02
enhancers.Intergenic.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Intergenic.txt	92465	74871258640	8097251.0	6102	1707162	409870688	-5.48	-0.00	1.00e+00
enhancers.5prime.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.5prime.txt	6256	644981	103	29	2777	3530	-0.24	1.15	3.18e-01
enhancers.promoter-TSS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.promoter-TSS.txt	11376	9428190	828	140	34437	51613	-0.40	10.61	2.46e-05
enhancers.Other.T.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Other.T.txt	18502	19984323	1080	281	83187	109400	-0.27	11.22	1.35e-05
enhancers.T.naive.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.T.naive.txt	18240	19135535	1049	212	73048	104754	-0.36	16.45	7.21e-08
enhancers.Treg.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.Treg.txt	33320	35145230	1054	478	146926	192396	-0.27	18.02	1.50e-08
enhancers.non-coding.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.non-coding.txt	15294	6036389	394	57	10286	33045	-1.17	30.38	6.42e-14
enhancers.3prime.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.3prime.txt	12561	12723571	1012	50	11645	69653	-1.79	100.05	3.53e-44
enhancers.exon.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.exon.txt	106140	17705341	166	149	21802	96925	-1.49	114.34	2.21e-50
enhancers.TTS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.TTS.txt	19412	17606597	906	98	21348	96384	-1.51	114.76	1.44e-50
enhancers.intron.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/tcells/enhancers.intron.txt	214372	789290513	3681	4117	1105983	4320844	-1.36	6149.63	0.00e+00
