Name	PeakFile/Annotation	#features[ref=27445]	Coverage(bp)[ref=13671343]	AvgFeatureSize[ref=498]	Overlap(#peaks)	Overlap(bp)	Expected Overlap(bp, gsize=2.00e+09)	Log Ratio Enrichment	Log P-value(+ underrepresented)	P-value
enhancers.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.txt	1769842	772130563	436	21070	11616181	5278030	0.79	-12683.45	0.00e+00
enhancers.Th.stim.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th.stim.txt	67152	69450748	1034	4573	2232080	474742	1.55	-3706.96	0.00e+00
enhancers.Th17.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th17.txt	33682	35425943	1051	2835	1560682	242160	1.86	-3380.26	0.00e+00
enhancers.Th0.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th0.txt	62122	65374328	1052	3837	1554414	446877	1.25	-1786.73	0.00e+00
enhancers.T.naive.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.T.naive.txt	18240	19135535	1049	1307	599735	130804	1.52	-924.35	0.00e+00
enhancers.other.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.other.txt	319878	335326322	1048	7201	3221722	2292180	0.34	-421.24	1.14e-183
enhancers.Treg.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Treg.txt	33320	35145230	1054	1377	560541	240241	0.85	-324.61	1.06e-141
enhancers.CD34.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.CD34.txt	37753	39580272	1048	1243	516243	270557	0.65	-185.78	2.07e-81
enhancers.promoter-TSS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.promoter-TSS.txt	11376	9428190	828	426	142591	64448	0.79	-74.46	4.58e-33
enhancers.Th1.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th1.txt	32740	34772185	1062	1118	363783	237691	0.43	-62.31	8.67e-28
enhancers.Th2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th2.txt	29372	31200703	1062	922	297154	213277	0.33	-32.86	5.34e-15
enhancers.5'.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.5'.txt	6256	644981	103	144	18285	4408	1.42	-26.09	4.66e-12
enhancers.Other.T.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Other.T.txt	18502	19984323	1080	445	152978	136606	0.11	-3.63	2.65e-02
enhancers.basic.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.final.annotation	1223986	76498776015	624991.0	27445	13698788	522920502	-3.64	-0.00	1.00e+00
enhancers.Intergenic.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Intergenic.txt	92465	74871258640	8097251.0	4118	1128133	511795328	-6.12	-0.00	1.00e+00
gwascatalog.proxy.disease.final.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.v2.txt	22354	32999977646	14762441.0	26461	13258660	225577006	-2.83	-0.00	1.00e+00
gwascatalog.proxy.disease.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.v2.txt	268093	11166	0	85	170	76	0.81	0.00	1.00e+00
enhancers.basic.reordered.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.annotation	2313110	76499695543	330721.0	27445	13711438	522926788	-3.64	-0.00	1.00e+00
enhancers.basic.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.annotation	2313110	76499695543	330721.0	27445	13711438	522926788	-3.64	-0.00	1.00e+00
enhancers.basic.reordered.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.final.annotation	1223989	76498776019	624991.0	27445	13698788	522920503	-3.64	-0.00	1.00e+00
gwascatalog.proxy.disease.final.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.txt	22354	32999977646	14762441.0	26461	13258660	225577006	-2.83	-0.00	1.00e+00
enhancers.B.cell.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.B.cell.txt	57721	61293029	1061	1228	418485	418979	-0.00	0.71	4.91e-01
enhancers.Tmem.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Tmem.txt	23855	25441945	1066	427	138364	173912	-0.23	10.40	3.05e-05
enhancers.non-coding.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.non-coding.txt	15294	6036389	394	74	14259	41262	-1.06	26.84	2.20e-12
enhancers.exon.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.exon.txt	106140	17705341	166	317	38807	121027	-1.14	81.13	5.81e-36
enhancers.3'.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.3'.txt	12561	12723571	1012	65	13711	86974	-1.85	100.47	2.33e-44
enhancers.TTS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.TTS.txt	19412	17606597	906	122	27426	120352	-1.48	109.06	4.32e-48
enhancers.intron.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.intron.txt	214372	789290513	3681	2740	694946	5395330	-2.05	8911.83	0.00e+00
